date,issued_hour,interval,original_kwh,effective_version_kwh,forecast_pv_kwh
2025-02-01,0,00:00-00:10,1281.8503833333334,1281.8503833333334,0.0
2025-02-01,0,00:10-00:20,1274.0026833333334,1274.0026833333334,0.0
2025-02-01,0,00:20-00:30,1253.7733333333335,1253.7733333333335,0.0
2025-02-01,0,00:30-00:40,1141.1905499999973,1141.1905499999973,0.0
2025-02-01,0,00:40-00:50,1283.3109166666668,1283.3109166666668,0.0
2025-02-01,0,00:50-01:00,477.3450000000001,477.3450000000001,0.0
2025-02-01,0,01:00-01:10,503.49944999999997,503.49944999999997,0.0
2025-02-01,0,01:10-01:20,480.10516666666655,480.10516666666655,0.0
2025-02-01,0,01:20-01:30,514.7416666666667,514.7416666666667,0.0
2025-02-01,0,01:30-01:40,512.5564333333334,512.5564333333334,0.0
2025-02-01,0,01:40-01:50,507.59765,507.59765,0.0
2025-02-01,0,01:50-02:00,563.5649999999998,563.5649999999998,0.0
2025-02-01,0,02:00-02:10,494.0816833333333,494.0816833333333,0.0
2025-02-01,0,02:10-02:20,539.2804833333333,539.2804833333333,0.0
2025-02-01,0,02:20-02:30,503.3400000000001,503.3400000000001,0.0
2025-02-01,0,02:30-02:40,523.5573000000002,523.5573000000002,0.0
2025-02-01,0,02:40-02:50,532.9919,532.9919,0.0
2025-02-01,0,02:50-03:00,526.5433333333333,526.5433333333333,0.0
2025-02-01,0,03:00-03:10,546.9202333333332,546.9202333333332,0.0
2025-02-01,0,03:10-03:20,521.7367333333333,521.7367333333333,0.0
2025-02-01,0,03:20-03:30,529.6366666666667,529.6366666666667,0.0
2025-02-01,0,03:30-03:40,525.0621,525.0621,0.0
2025-02-01,0,03:40-03:50,532.3870166666666,532.3870166666666,0.0
2025-02-01,0,03:50-04:00,550.98,550.98,0.0
2025-02-01,0,04:00-04:10,532.1700500000031,532.1700500000031,0.0
2025-02-01,0,04:10-04:20,515.7495833333334,515.7495833333334,0.0
2025-02-01,0,04:20-04:30,576.345,576.345,0.0
2025-02-01,0,04:30-04:40,581.5336833333333,581.5336833333333,0.0
2025-02-01,0,04:40-04:50,574.3327333333332,574.3327333333332,0.0
2025-02-01,0,04:50-05:00,565.7766666666665,565.7766666666665,0.0
2025-02-01,0,05:00-05:10,523.0044333333334,523.0044333333334,0.0
2025-02-01,0,05:10-05:20,502.8849833333333,502.8849833333333,0.0
2025-02-01,0,05:20-05:30,587.195,587.195,0.0
2025-02-01,0,05:30-05:40,1406.1048833333332,1406.1048833333332,0.0
2025-02-01,0,05:40-05:50,0.0,0.0,0.0
2025-02-01,0,05:50-06:00,0.0,0.0,0.0
2025-02-01,0,06:00-06:10,0.0,0.0,4.886369444444453
2025-02-01,0,06:10-06:20,0.0,0.0,14.659108333333334
2025-02-01,0,06:20-06:30,0.0,0.0,24.431847222222213
2025-02-01,0,06:30-06:40,0.0,0.0,34.20458611111112
2025-02-01,0,06:40-06:50,0.0,0.0,43.977325
2025-02-01,0,06:50-07:00,0.0,0.0,53.75006388888888
2025-02-01,0,07:00-07:10,0.0,0.0,82.29300972222227
2025-02-01,0,07:10-07:20,0.0,0.0,129.60616249999998
2025-02-01,0,07:20-07:30,0.0,0.0,176.91931527777774
2025-02-01,0,07:30-07:40,0.0,0.0,224.2324680555556
2025-02-01,0,07:40-07:50,0.0,0.0,271.5456208333333
2025-02-01,0,07:50-08:00,0.0,0.0,318.858773611111
2025-02-01,0,08:00-08:10,0.0,0.0,367.31777083333327
2025-02-01,0,08:10-08:20,0.0,0.0,416.9226125
2025-02-01,0,08:20-08:30,0.0,0.0,466.52745416666676
2025-02-01,0,08:30-08:40,0.0,0.0,516.1322958333332
2025-02-01,0,08:40-08:50,0.0,0.0,565.7371375
2025-02-01,0,08:50-09:00,0.0,0.0,615.3419791666668
2025-02-01,0,09:00-09:10,0.0,0.0,667.6022916666666
2025-02-01,0,09:10-09:20,0.0,0.0,722.518075
2025-02-01,0,09:20-09:30,0.0,0.0,777.4338583333334
2025-02-01,0,09:30-09:40,0.0,0.0,832.3496416666667
2025-02-01,0,09:40-09:50,0.0,0.0,887.2654249999999
2025-02-01,0,09:50-10:00,0.0,0.0,942.1812083333334
2025-02-01,0,10:00-10:10,0.0,0.0,986.7053499999998
2025-02-01,0,10:10-10:20,0.0,0.0,1020.8378499999999
2025-02-01,0,10:20-10:30,0.0,0.0,1054.97035
2025-02-01,0,10:30-10:40,0.0,0.0,1089.10285
2025-02-01,0,10:40-10:50,0.0,0.0,1123.23535
2025-02-01,0,10:50-11:00,0.0,0.0,1157.3678499999999
2025-02-01,0,11:00-11:10,0.0,0.0,1170.0351402777778
2025-02-01,0,11:10-11:20,0.0,0.0,1161.2372208333334
2025-02-01,0,11:20-11:30,0.0,0.0,1152.4393013888887
2025-02-01,0,11:30-11:40,0.0,0.0,1143.6413819444444
2025-02-01,0,11:40-11:50,0.0,0.0,1134.8434625
2025-02-01,0,11:50-12:00,427.582666666667,427.582666666667,1126.0455430555555
2025-02-01,0,12:00-12:10,433.2881611111113,433.2881611111113,1112.0894208333332
2025-02-01,0,12:10-12:20,59.200854389570225,59.200854389570225,1092.9750958333334
