date,interval,price,plan_kwh,adjusted_kwh,load_kwh,pv_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start,soc_end,refund,penalty,extra_cost,total_cost
2025-02-01,00:00-00:10,0.4248,1281.8503833333334,1281.8503833333334,422.0303666666667,0.0,833.3333333333262,0.0,0.0,26.48668333334058,6000.0,6749.999999999994,0.0,0.0,0.0,544.5300428400001
2025-02-01,00:10-00:20,0.4245,1274.0026833333334,1274.0026833333334,415.4073166666667,0.0,833.3333333333334,0.0,0.0,25.262033333333306,6749.999999999994,7499.999999999994,0.0,0.0,0.0,540.814139075
2025-02-01,00:20-00:30,0.4269,1253.7733333333335,1253.7733333333335,410.7166666666667,0.0,833.3333333333334,0.0,0.0,9.723333333333471,7499.999999999994,8249.999999999993,0.0,0.0,0.0,535.2358360000001
2025-02-01,00:30-00:40,0.4272,1141.1905499999973,1141.1905499999973,430.29479999999995,0.0,686.4922907407446,0.0,0.0,24.403459259252827,8249.999999999993,8867.843061666663,0.0,0.0,0.0,487.51660295999886
2025-02-01,00:40-00:50,0.4271,1283.3109166666668,1283.3109166666668,424.4105833333333,0.0,826.7679592592605,0.0,0.0,32.13237407407303,8867.843061666663,9611.934224999997,0.0,0.0,0.0,548.1020925083334
2025-02-01,00:50-01:00,0.4285,477.3450000000001,477.3450000000001,406.0516666666667,0.0,42.48999999999931,0.0,0.0,28.803333333334095,9611.934224999997,9650.175224999997,0.0,0.0,0.0,204.54233250000004
2025-02-01,01:00-01:10,0.4311,503.49944999999997,503.49944999999997,436.7501833333333,0.0,0.0,0.0,0.0,66.74926666666664,9650.175224999997,9650.175224999997,0.0,0.0,0.0,217.05861289499998
2025-02-01,01:10-01:20,0.4302,480.10516666666655,480.10516666666655,451.7976833333333,0.0,0.0,0.0,0.0,28.30748333333163,9650.175224999997,9650.175224999997,0.0,0.0,0.0,206.54124269999997
2025-02-01,01:20-01:30,0.4279,514.7416666666667,514.7416666666667,446.08,0.0,68.66166666666669,0.0,0.0,0.0,9650.175224999997,9711.970724999997,0.0,0.0,0.0,220.25795916666667
2025-02-01,01:30-01:40,0.4312,512.5564333333334,512.5564333333334,471.7663333333333,0.0,34.138333333337,0.0,0.0,6.651766666663107,9711.970724999997,9742.695225000001,0.0,0.0,0.0,221.01433405333339
2025-02-01,01:40-01:50,0.4333,507.59765,507.59765,448.02596666666665,0.0,2.4045333333298102,0.0,0.0,57.16715000000353,9742.695225000001,9744.859304999998,0.0,0.0,0.0,219.94206174500002
2025-02-01,01:50-02:00,0.4311,563.5649999999998,563.5649999999998,397.40333333333336,0.0,165.51499999999982,0.0,0.0,0.646666666666647,9744.859304999998,9893.822804999998,0.0,0.0,0.0,242.95287149999993
2025-02-01,02:00-02:10,0.4293,494.0816833333333,494.0816833333333,434.0906333333333,0.0,13.135066666667257,0.0,0.0,46.855983333332716,9893.822804999998,9905.644364999998,0.0,0.0,0.0,212.10926665499997
2025-02-01,02:10-02:20,0.4324,539.2804833333333,539.2804833333333,490.5609166666666,0.0,0.0,0.0,0.0,48.71956666666671,9905.644364999998,9905.644364999998,0.0,0.0,0.0,233.18488099333334
2025-02-01,02:20-02:30,0.4367,503.3400000000001,503.3400000000001,503.22,0.0,0.0,0.0,0.0,0.12000000000006139,9905.644364999998,9905.644364999998,0.0,0.0,0.0,219.80857800000004
2025-02-01,02:30-02:40,0.4348,523.5573000000002,523.5573000000002,474.0728166666667,0.0,0.0,0.0,0.0,49.48448333333346,9905.644364999998,9905.644364999998,0.0,0.0,0.0,227.64271404000007
2025-02-01,02:40-02:50,0.4335,532.9919,532.9919,461.38439999999997,0.0,9.957357407405652,0.0,0.0,61.650142592594364,9905.644364999998,9914.605986666664,0.0,0.0,0.0,231.05198865
2025-02-01,02:50-03:00,0.4357,526.5433333333333,526.5433333333333,476.94166666666666,0.0,16.12930925925967,0.0,0.0,33.47235740740696,9914.605986666664,9929.122364999997,0.0,0.0,0.0,229.4149303333333
2025-02-01,03:00-03:10,0.4374,546.9202333333332,546.9202333333332,483.39955000000003,0.0,63.520683333333125,0.0,0.0,0.0,9929.122364999997,9986.290979999998,0.0,0.0,0.0,239.22291005999992
2025-02-01,03:10-03:20,0.4371,521.7367333333333,521.7367333333333,486.6019166666667,0.0,25.087733333336317,0.0,0.0,10.047083333330292,9986.290979999998,10008.86994,0.0,0.0,0.0,228.05112613999998
2025-02-01,03:20-03:30,0.4356,529.6366666666667,529.6366666666667,498.84833333333336,0.0,0.0,0.0,0.0,30.7883333333333,10008.86994,10008.86994,0.0,0.0,0.0,230.709732
2025-02-01,03:30-03:40,0.4353,525.0621,525.0621,518.3097333333334,0.0,0.0,0.0,0.0,6.752366666666603,10008.86994,10008.86994,0.0,0.0,0.0,228.55953213
2025-02-01,03:40-03:50,0.436,532.3870166666666,532.3870166666666,509.13346666666666,0.0,13.014683333328472,0.0,0.0,10.238866666671433,10008.86994,10020.583154999997,0.0,0.0,0.0,232.12073926666662
2025-02-01,03:50-04:00,0.4378,550.98,550.98,483.6166666666666,0.0,35.27166666666744,0.0,0.0,32.09166666666596,10020.583154999997,10052.327654999997,0.0,0.0,0.0,241.21904400000003
2025-02-01,04:00-04:10,0.4401,532.1700500000031,532.1700500000031,491.1868,0.0,40.983250000003125,0.0,0.0,0.0,10052.327654999997,10089.21258,0.0,0.0,0.0,234.20803900500138
2025-02-01,04:10-04:20,0.4389,515.7495833333334,515.7495833333334,504.64528333333334,0.0,0.5305666666711524,0.0,0.0,10.573733333328871,10089.21258,10089.690090000004,0.0,0.0,0.0,226.36249212500002
2025-02-01,04:20-04:30,0.4364,576.345,576.345,505.5783333333333,0.0,0.0,0.0,0.0,70.76666666666671,10089.690090000004,10089.690090000004,0.0,0.0,0.0,251.51695800000002
2025-02-01,04:30-04:40,0.4393,581.5336833333333,581.5336833333333,503.2309666666667,0.0,0.0,0.0,0.0,78.30271666666664,10089.690090000004,10089.690090000004,0.0,0.0,0.0,255.46774708833334
2025-02-01,04:40-04:50,0.4422,574.3327333333332,574.3327333333332,502.84698333333336,0.00023333333333333333,0.0,0.0,0.0,71.48598333333314,10089.690090000004,10089.690090000004,0.0,0.0,0.0,253.9699346799999
2025-02-01,04:50-05:00,0.4395,565.7766666666665,565.7766666666665,499.64166666666665,0.0,7.2077872427944385,0.0,0.0,58.92721275720544,10089.690090000004,10096.17709851852,0.0,0.0,0.0,248.65884499999993
2025-02-01,05:00-05:10,0.4333,523.0044333333334,523.0044333333334,488.78358333333335,0.0,4.470466666666147,0.0,0.0,29.7503833333339,10096.17709851852,10100.200518518519,0.0,0.0,0.0,226.61782096333337
2025-02-01,05:10-05:20,0.4439,502.8849833333333,502.8849833333333,498.51875,0.003316666666666667,0.0,0.0,0.0,4.369549999999947,10100.200518518519,10100.200518518519,0.0,0.0,0.0,223.23064410166666
2025-02-01,05:20-05:30,0.4301,587.195,587.195,529.2233333333334,0.0,21.903412757201295,0.0,0.0,36.0682539094654,10100.200518518519,10119.91359,0.0,0.0,0.0,252.5525695
2025-02-01,05:30-05:40,0.3713,1406.1048833333332,1406.1048833333332,547.4103166666666,0.0,755.6515666666666,0.0,0.0,103.043,10119.91359,10800.0,0.0,0.0,0.0,522.0867431816666
2025-02-01,05:40-05:50,0.5708,0.0,0.0,531.2274,0.04623333333333333,0.0,531.1811666666666,0.0,0.0,10800.0,10209.798703703704,0.0,0.0,0.0,0.0
2025-02-01,05:50-06:00,0.9099,0.0,0.0,510.98333333333335,0.0,0.0,510.98333333333335,0.0,0.0,10209.798703703704,9642.039444444445,0.0,0.0,0.0,0.0
2025-02-01,06:00-06:10,0.9368,0.0,0.0,535.1871833333333,0.0,0.0,535.1871833333333,0.0,0.0,9642.039444444445,9047.387018518519,0.0,0.0,0.0,0.0
