date,plan_total,emergency_total,plan_cost,emergency_cost,total_cost,unused_total,soc_start,soc_end,expected_emergency_cost
2025-02-01,46187.61104266583,0.0,23576.459315485044,0.0,23576.459315485044,5463.745532595862,6000.0,8411.542228287608,899.4570101876441
2025-02-02,89672.5361304294,0.0,57013.9193763788,0.0,57013.9193763788,7022.908947325104,8411.542228287608,8619.906414814808,834.3374100752576
2025-02-03,89684.10460081536,0.0,56519.74179783205,0.0,56519.74179783205,5226.8321415637965,8619.906414814808,8545.742104672714,459.64815303502616
2025-02-04,91277.76910322785,0.0,57702.541675575,0.0,57702.541675575,5427.113818312742,8545.742104672714,8753.032334507408,456.33879120232046
2025-02-05,92087.77709342731,0.0,58627.68384395521,0.0,58627.68384395521,7386.316010082301,8753.032334507408,8476.659447100003,447.8726870949329
2025-02-06,89413.41956347326,21.052866666666546,56409.03085542605,122.98032063333262,56532.01117605938,4990.31426213992,8476.659447100003,8412.791270601854,964.2269637497645
2025-02-07,41289.65231246296,0.0,21207.67590722427,0.0,21207.67590722427,6056.332476428901,8412.791270601854,8032.321736875985,924.1835869569622
2025-02-08,36967.72706975542,508.5232443806625,18989.04423634922,2943.7536685522596,21932.79790490148,2286.0649797695496,8032.321736875985,7968.304129688886,1009.1934414710736
2025-02-09,85348.8082126496,215.86328341499768,53320.25020594776,926.9291515861412,54247.1793575339,1459.2211849982182,7968.304129688886,7825.375214814814,390.67240867393116
2025-02-10,84343.9007963251,0.0,52790.793276011595,0.0,52790.793276011595,5856.043090090535,7825.375214814814,7968.086394259248,1429.3413867959364
2025-02-11,77651.47769021401,1998.5389329749976,48176.61145106037,11328.116924788807,59504.72837584918,154.93871666666655,7968.086394259248,7967.620350000002,1389.9524920675644
2025-02-12,79164.135519712,1005.2294563333484,49317.8940283875,5349.165454227921,54667.05948261542,559.8403353909556,7967.620350000002,8025.9161399999975,1371.5330717794473
2025-02-13,78483.68425579013,81.16228933333656,49177.45212635171,398.20439567134935,49575.656522023055,4153.964830078187,8025.9161399999975,7158.8200959259275,1555.9782355867596
2025-02-14,34845.48239862926,329.40274349999896,18033.47800381176,1750.2401957384905,19783.71819955025,2566.242568312753,7158.8200959259275,6402.714707470041,59.79585509585887
2025-02-15,37159.673658632055,371.52993633332954,19097.681188921903,1718.3822804896495,20816.06346941155,2940.737765226334,6402.714707470041,8041.875707222221,356.651562611955
2025-02-16,80262.82166152264,228.31274256995925,49683.077219848856,1537.6063516770605,51220.683571525915,542.0668341563882,8041.875707222221,8194.395276296298,1066.748703290075
2025-02-17,80836.00633600823,376.5173749999999,50020.86101766805,2526.538495758333,52547.39951342638,6240.787058094653,8194.395276296298,8249.684184814814,1111.4840949722338
2025-02-18,76902.19503106995,382.5394385000077,47417.74609229379,2491.8400731375405,49909.586165431334,829.9512272799072,8249.684184814814,8362.181929999999,1046.5301437223598
2025-02-19,75788.82953910698,1842.3811633333512,46669.69279550694,9497.129581631243,56166.82237713818,903.1635999999997,8362.181929999999,7864.122422962964,2323.341552146708
2025-02-20,77835.2173156395,0.0,48607.34023651227,0.0,48607.34023651227,3895.083893162136,7864.122422962964,6857.080089814815,906.5538569571872
2025-02-21,34766.490859259255,156.8831421193461,17943.71674084926,745.9687030524817,18689.68544390174,6108.727658641978,6857.080089814815,6705.489970370367,18.934432714380748
2025-02-22,35889.46110453692,0.0,18468.666087884616,0.0,18468.666087884616,3433.599001309394,6705.489970370367,7760.041378862555,107.56498506856308
2025-02-23,78804.65101429848,0.0,48846.84450632165,0.0,48846.84450632165,2713.95540938241,7760.041378862555,8091.140912222215,1286.9775385485448
2025-02-24,76202.69624122501,163.3926180300004,46888.352670820335,774.2929976661426,47662.645668486475,4289.97095826967,8091.140912222215,7953.993461442489,1538.7359831035294
2025-02-25,73120.23225596709,29.226666666667256,44856.43826970727,127.99818666666799,44984.436456373944,2739.053833950609,7953.993461442489,8256.020316627682,588.4092372833289
2025-02-26,71261.88192734879,1868.6585471083313,43673.43776103351,11050.298903454797,54723.7366644883,244.38644740639043,8256.020316627682,8366.694929444446,432.30560664968164
2025-02-27,71024.20671997733,1438.5663460000023,43934.35262560941,7055.557443714344,50989.910069323756,3753.0398522888495,8366.694929444446,6140.540141670323,422.6738768554278
2025-02-28,33439.953217193404,668.6439707983537,17135.45323931712,3803.892444247583,20939.345683564705,7674.489701295543,6140.540141670323,6047.636190292533,22.711325388392698
2025-03-01,35870.58620913998,55.81602613169208,18258.24909969679,260.5357395560919,18518.784839252883,6763.298034809188,6047.636190292533,8143.6389450000015,27.821634826367603
2025-03-02,77772.08640318608,2343.4209725996748,48352.487154698305,14058.138450017297,62410.625604715606,4229.054338819834,8143.6389450000015,8072.514052945255,359.61031436602394
2025-03-03,80890.38714545178,213.95381966666352,49947.188930828735,1212.3668897758996,51159.55582060463,4633.431994520581,8072.514052945255,8142.3116148148165,487.04653371606435
2025-03-04,80578.53268589248,0.0,50277.21439574314,0.0,50277.21439574314,7499.585384567896,8142.3116148148165,8329.052069074074,630.6787566042024
2025-03-05,77273.90865996656,0.0,47795.58285459195,0.0,47795.58285459195,7589.733359259252,8329.052069074074,8259.361007962963,574.5125941652599
2025-03-06,71005.50139679783,391.8018037139901,44332.16179646923,1793.2123391172063,46125.37413558643,4620.2409449135685,8259.361007962963,5512.085683703703,647.9289873872673
2025-03-07,31123.85457463992,19.868983333333347,16164.006893233069,42.26323310000003,16206.27012633307,8292.922758052635,5512.085683703703,4526.22994044811,149.52880580153862
2025-03-08,34708.10906103502,348.126110000001,17758.296361864646,997.2319084773357,18755.528270341983,9037.523216255151,4526.22994044811,8126.343801823144,75.31911837235374
2025-03-09,70539.70313525,0.0,43630.98087970726,0.0,43630.98087970726,3272.803211471184,8126.343801823144,8040.338656481484,336.5489400812857
2025-03-10,66904.1997813803,4186.389377188329,41595.14152801456,26903.436197764604,68498.57772577916,34.808349999999905,8040.338656481484,7798.892440914495,1895.027859282972
2025-03-11,71707.32313618314,238.8127986666641,44319.21208951668,940.3088896194988,45259.52097913618,4198.669389763373,7798.892440914495,7967.513516666673,1181.7403908088027
2025-03-12,69179.26001549192,0.0,42843.22305604825,0.0,42843.22305604825,2934.8981446502085,7967.513516666673,7873.5267396834715,873.6165337565595
2025-03-13,62368.20793307939,4359.700173384208,39245.72176062605,26387.200459905183,65632.92222053124,47.93260761615318,7873.5267396834715,4000.2720747673875,868.2718604317892
2025-03-14,29854.49688657574,422.38446377571097,15446.796833802311,1863.6932618360815,17310.490095638394,11185.22780814347,4000.2720747673875,4120.94503741384,70.24100139652222
2025-03-15,34663.012202976286,97.81463847921782,17457.202840553713,381.6969902135108,17838.899830767223,6806.260186625514,4120.94503741384,7721.100581111111,74.94053933421125
2025-03-16,71284.12981149228,62.337924124996725,43347.13436996694,384.1533343752504,43731.28770434219,3690.6505133809687,7721.100581111111,8158.8059725925905,781.5071583425358
2025-03-17,71824.37076178395,0.0,43989.03295011319,0.0,43989.03295011319,10061.93930997308,8158.8059725925905,8489.558899814814,0.0
2025-03-18,61594.627301477354,2835.775865333331,37523.41443931032,15559.275880144649,53082.69031945497,194.93285145679346,8489.558899814814,7764.327178518518,862.36561675756
2025-03-19,67177.65482229425,0.0,41192.28701792218,0.0,41192.28701792218,2856.364418179005,7764.327178518518,8598.00770186329,1144.2762316280496
2025-03-20,61627.30350510593,264.1895285205775,38784.29075991486,1171.8507729441817,39956.141532859045,567.1405309540245,8598.00770186329,4277.101433148147,1175.3082102594622
2025-03-21,29203.09422690355,181.80409749999905,15192.997334344373,695.7931607016629,15888.790495046036,14762.354815020586,4277.101433148147,3987.4288969493164,233.11554692146802
2025-03-22,34201.9268589229,183.26260686106417,17185.725633095943,793.321536234097,17979.04716933004,11008.29680339928,3987.4288969493164,8236.234482407408,186.83647418701085
2025-03-23,65610.41175420988,61.02498333333303,40626.78553140829,268.0080210833318,40894.793552491625,3112.3858499094595,8236.234482407408,8166.427136296298,1797.0574532850587
2025-03-24,64937.27879028176,749.5510877571966,39180.77478553748,3758.707162770548,42939.48194830802,4293.761282619527,8166.427136296298,7745.80998333925,1219.3702425340562
2025-03-25,60808.43483444653,3964.2140001332004,37444.02351096075,25438.32098467272,62882.34449563347,23.165300000000055,7745.80998333925,8224.090667777777,2042.7509045125046
