date,plan_cost,refund,penalty,extra_cost,emergency_cost,total_cost,increase_total,decrease_total,expected_emergency_cost,emergency_total,unused_total,soc_start,soc_end
2025-02-01,20086.194224411167,651.2233421861238,325.6116710930619,8.467594625471974e-13,1.2387317838147284e-11,19760.582553318116,7.958078640513122e-13,860.2927357046528,708.2795367881904,7.275957614183426e-12,3418.4804139537027,6000.0,10632.541716412947
2025-02-02,62037.589416046874,2393.465225555159,1196.7326127775796,213.89838549500664,0.0,61054.7551887643,104.1350861111157,2905.117283980873,911.638202661669,0.0,3266.4960244517774,10632.541716412947,10637.503748881092
2025-02-03,64707.09979829645,3929.2724707678694,1964.6362353839347,7.290969961104566e-12,0.0,62742.46356291252,4.661160346586257e-12,4275.746460916624,863.9163539473539,0.0,1829.4978906835506,10637.503748881092,10027.530176857403
2025-02-04,68265.93307482333,4537.382308894457,2268.6911544472287,6.534071417263475e-12,9.64064383879304e-12,65997.24192037612,5.229594535194337e-12,4784.772136086252,830.9568820951131,1.8189894035458565e-12,3269.1024395679,10027.530176857403,10572.00797696325
2025-02-05,61952.09847813165,1894.9805351724879,947.4902675862439,1222.2083186008654,55.93843166666652,62282.75496081295,968.5118639166757,1947.5206303699374,827.271493037869,29.961666666666588,1718.0476270253905,10572.00797696325,9518.995585655477
2025-02-06,68136.0368349606,6581.374252065478,3290.687126032739,5.7439392228126915e-12,147.14739433889815,64992.49710326677,3.670368105260015e-12,6997.522640191924,865.8783604402835,55.46293263889052,2123.1478886657474,9518.995585655477,9882.639014473674
2025-02-07,18662.44008465024,1607.7461239790532,803.8730619895266,6.722302714479155e-14,7.58581641946421e-14,17858.56702266071,5.684341886080802e-14,2447.7527755564374,556.7154943523328,3.9612757518625587e-14,5917.818864103236,9882.639014473674,8923.923973725861
2025-02-08,14710.607246136888,75.07329288333314,37.53664644166657,864.7878607462433,1334.3117206454176,16872.170181086884,836.858326609617,239.31299999999942,316.4914401717321,296.8712893893191,1846.8376336419803,8923.923973725861,8611.211423687102
2025-02-09,59034.27071052397,499.9007507308722,249.9503753654361,110.5471233818296,164.2612373593193,59059.128695899686,90.17893576947966,551.3407977995838,1418.0880092310815,31.600853666663966,549.0394694040996,8611.211423687102,7893.525587178687
2025-02-10,58244.47402595021,4388.585624801843,2194.2928124009213,6.269837705902025e-12,0.0,56050.18121354929,4.220991552876876e-12,4738.066843920273,907.0599097405643,0.0,143.50660762451162,7893.525587178687,8542.09825944444
2025-02-11,58317.12469454675,4513.5041616372655,2256.7520808186327,1.644696112634847e-12,2654.9870272685657,58715.35964099668,1.3642420526593924e-12,4457.942300330251,801.1851110406346,525.7802641138762,99.4182763889013,8542.09825944444,7790.427572777774
2025-02-12,58978.43846397338,3921.8382808073443,1960.9191404036721,3.148632082969185e-11,1236.449439939125,58253.96876350887,1.9077921962661018e-11,4247.899705599442,906.9682660241798,236.60093200052563,353.8365919753161,7790.427572777774,8532.439249629626
2025-02-13,54594.189951400316,3954.3188937083605,1977.1594468541803,4.783373697136995e-14,559.1749988690019,53176.205503415134,5.684341886080802e-14,4035.9932966670312,498.4770195603692,180.03052933333356,221.76464654310803,8532.439249629626,8209.72269178404
2025-02-14,14479.978133867622,9.350571872346336e-13,4.675285936173168e-13,1059.3593716850128,151.69844123364706,15691.035946786282,984.0142168669465,1.0800249583553523e-12,397.78157896358834,37.922250000003324,3165.012665929928,8209.72269178404,8104.086003703705
2025-02-15,15900.447799782669,73.58251069668796,36.79125534834398,694.6713354619819,2328.1520023267885,18886.479882223095,505.49952345761255,215.2656971670391,466.03992018525673,581.767286342224,4355.462918758541,8104.086003703705,8591.657375190998
2025-02-16,57051.649945187775,3787.1174005378934,1893.5587002689467,1020.0959706673872,1799.4765812132841,57977.663796799505,584.9542345539904,4253.4334140611145,1561.044912801102,356.5374028681075,149.4696666666692,8591.657375190998,7397.156085331134
2025-02-17,56499.744841771026,6458.667278829644,3229.333639414822,579.2209998008213,1912.218652526562,55761.85085468359,358.83739341666865,8015.204262872861,1575.0936015265777,379.5019587620772,334.7129388888925,7397.156085331134,7484.57083288585
2025-02-18,48850.563621760266,1.7199920421262505e-11,8.599960210631253e-12,3802.4617753543016,1755.112141152554,54408.13753826711,3268.5948730625523,2.2168933355715126e-11,1551.6950210906753,339.447645680546,1099.8344188590356,7484.57083288585,6737.994854345886
2025-02-19,49511.68241494281,3.7003478275540034,1.8501739137770017,3283.2198183333785,696.6950519738775,53489.747111336284,3450.241184666649,8.935345473255438,1774.1602647305128,136.52786388889203,518.8000599223121,6737.994854345886,5849.868967098759
2025-02-20,51913.64527261186,1434.4522696302554,717.2261348151277,1301.5466766025534,265.82987157600405,52763.795685975296,858.7362212713738,1681.7195740312304,1689.9384982757228,48.38167123610792,613.4897421467793,5849.868967098759,6816.556540589004
2025-02-21,13843.35814677818,1.9967737512160966e-06,9.983868756080483e-07,296.98534770309664,1087.5800797542972,15227.923573237189,292.4620521666709,5.017019475417328e-06,316.84595959811537,328.3333014027787,5902.167494238685,6816.556540589004,5406.178479188386
2025-02-22,15476.167251982868,211.22810645745506,105.61405322872753,432.30524425627834,156.19720405666925,15959.055647067089,373.2315452372224,381.66700628396563,486.592962851369,86.3186965000018,3349.3166009316515,5406.178479188386,7096.8992474074075
2025-02-23,49545.10350894124,2255.4836357474132,1127.7418178737066,5607.989998968543,68.0657058889594,54093.41739592504,4815.0365095563575,2802.328648884967,1593.0756302973361,25.28006244444841,867.3866503257973,7096.8992474074075,6507.1739701056395
2025-02-24,47746.95668206448,86.46446071584366,43.23223035792183,3804.954488549366,754.9577765879494,52263.63671684388,4373.086343053851,119.26392916667879,1347.016474538821,150.75508436910619,3241.8319280195324,6507.1739701056395,6367.849911481481
2025-02-25,48814.334495154675,3005.3107814115565,1502.6553907057782,1063.959885439034,1368.535584152906,49744.17457404084,1386.8858275261011,4076.5184403972644,1534.720329767574,259.8088468107007,2156.1170185633864,6367.849911481481,6204.674896851853
2025-02-26,44848.19668498532,12.581168460263884,6.290584230131942,7047.7664348323715,62.13816929166635,51951.81070487923,7464.268157346777,30.633474871242925,1206.0375495345072,21.371683333333223,1909.7247121532969,6204.674896851853,6725.088123283222
2025-02-27,44670.74953311788,68.17280285675382,34.08640142837691,3503.6131299396366,1.4116462124998164,48141.687907841646,3673.331046206258,160.32976666676726,1814.0786614468175,0.28921249999996235,1709.152341207323,6725.088123283222,5948.873913518515
2025-02-28,13837.735656899014,47.12414692787535,23.562073463937676,290.79617108479175,394.79381036802795,14499.763564887897,284.29391666666663,83.65198451862892,193.21271775120303,194.93085906944407,7037.340865671304,5948.873913518515,6375.527084384865
2025-03-01,14508.803764617925,201.72423785555236,100.86211892777618,1.9340689050295623e-13,125.28222984046354,14533.223875530613,1.7053025658242404e-13,354.9282065523604,749.9681385922661,62.031369121406094,7464.309406875518,6375.527084384865,7099.5574050000005
2025-03-02,51977.96795268284,60.19273596722277,30.096367983611383,5273.572143657637,683.3668137755133,57904.81054213238,4678.520197517096,87.88586111111181,1598.439084229658,137.7776841526154,6179.340344015712,7099.5574050000005,7088.9331620370385
2025-03-03,53207.87541839715,910.333183880014,455.166591940007,1620.7581930725873,0.0,54373.46701952972,1101.566014048523,1166.5182780760483,1729.9653962870982,0.0,3542.7547956117373,7088.9331620370385,7174.199439136308
2025-03-04,46241.75340536751,28.957547010091456,14.478773505045728,2572.040421122126,220.42163012322612,49019.73668310782,2017.7206485871409,43.499396616820775,1521.2164824058766,42.580353806590516,386.1031983539117,7174.199439136308,5704.195393878202
2025-03-05,49647.015439674724,3591.2141778876503,1795.6070889438251,179.52217739103781,1.0474954237338352e-13,48030.930528121935,130.0665683735746,4519.858676357104,1548.3642585726463,2.2648549702353193e-14,801.6145148148213,5704.195393878202,7145.542972748821
2025-03-06,44678.30251623968,598.129688697069,299.0648443485345,1050.872770321766,0.0,45430.110442212914,1018.5951871666068,740.1680050697956,1346.9042979703415,0.0,316.9194855452703,7145.542972748821,4906.3597437591125
2025-03-07,13804.577788047663,470.2185257893257,235.10926289466286,62.28033952976931,5.631591193377972e-12,13631.748864682775,59.22692326672576,784.4108704822836,420.3710378065041,1.8189894035458565e-12,9094.870304205848,4906.3597437591125,4389.221005468825
2025-03-08,13222.373083666276,1.194513306511256,0.597256653255628,503.7016284369739,175.17659121047015,13900.654046660466,781.9348971484151,4.244894479428467,310.64498708951277,46.956920805535255,9273.341461110154,4389.221005468825,6278.424007144448
